target,text
ham,I WILL CAL YOU SIR. In meeting
spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
ham,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP
ham,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"""
ham,Wat time Ì_ finish?
ham,Aight should I just plan to come up later tonight?
spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week
ham,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! 
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :)
ham,Well good morning mr . Hows london treatin' ya treacle?
ham,Oi when you gonna ring
ham,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly"
ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
ham,I will spoil you in bed as well :)
spam,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04
ham,Thanks honey. Have a great day.
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
ham,I dont have that much image in class.
ham,IÛ÷m going to try for 2 months ha ha only joking
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James."
ham,"How about clothes, jewelry, and trips?"
ham,Actually i'm waiting for 2 weeks when they start putting ad.
ham,"I didnt get ur full msg..sometext is missing, send it again"
spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr"
ham,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to \DRINK\"". . . But don't \""DRIVE \"""""
ham,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:)
ham,"Dear relieved of westonzoyland, all going to plan this end too!"
ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!
ham,Do well :)all will for little time. Thing of good times ahead:
ham,I will treasure every moment we spend together...
ham,"IÛ÷ve got some salt, you can rub it in my open wounds if you like!"
ham,Can you pls send me that company name. In saibaba colany
ham,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)
ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
ham,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!"
ham,Wat time do u wan 2 meet me later?
ham,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember."
ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
ham,Thanks for this hope you had a good day today
ham,Oh k k:)but he is not a big hitter.anyway good
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
ham,Nope. Meanwhile she talk say make i greet you.
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+
ham,I tagged MY friends that you seemed to count as YOUR friends.
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
spam,"This is the 2nd time we have tried to contact u. U have won the å£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate"
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,Where at were hungry too
ham,"U so lousy, run already come back then half dead... Hee..."
ham,That's the way you should stay oh.
ham,What Today-sunday..sunday is holiday..so no work..
ham,"Until 545 lor... Ya, can go 4 dinner together..."
ham,I want to go to perumbavoor
ham,Lol they were mad at first but then they woke up and gave in.
ham,So u gonna get deus ex?
ham,He needs to stop going to bed and make with the fucking dealing
ham,Why don't you wait 'til at least wednesday to see if you get your .
ham,Lol. Well quality aint bad at all so i aint complaining
ham,You stayin out of trouble stranger!!saw Dave the other day heåÕs sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! 
ham,Were somewhere on Fredericksburg
spam,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,R u saying i should re order the slippers cos i had to pay for returning it.
ham,Also where's the piece
ham,For my family happiness..
ham,Its ok..come to my home it vl nice to meet and v can chat..
ham,Thank god they are in bed!
ham,I cant pick the phone right now. Pls send a message
ham,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
ham,Yes just finished watching days of our lives. I love it.
ham,Speaking of does he have any cash yet?
spam,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16"
ham,\Wen u miss someone
ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8"
ham,I wanna watch that movie
ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
ham,How long does it take to get it.
ham,Stupid.its not possible
ham,I am in tirupur.  call you da.
ham,Oh ok wait 4 me there... My lect havent finish
ham,K..k:)how about your training process?
ham,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please "
spam,URGENT! We are trying to contact U Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
ham,I.ll post her out l8r. In class
ham,Yeah that'd pretty much be the best case scenario
ham,K.k:)apo k.good movie.
ham,Thanks for understanding. I've been trying to tell sura that.
ham,But i'm really really broke oh. No amount is too small even  &lt;#&gt; 
spam,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16"
spam,SMS. ac sun0819 posts HELLO:\You seem cool
ham,Yup i'm elaborating on the safety aspects and some other issues..
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
ham,No probably  &lt;#&gt; %.
ham,Well obviously not because all the people in my cool college life went home ;_;
ham,Oh:)as usual vijay film or its different?
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up"
ham,Okie
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea"
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
ham,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out"
ham,No current and food here. I am alone also
ham,Guai... ÌÏ shd haf seen him when he's naughty... ÌÏ so free today? Can go jogging...
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
ham,Which is weird because I know I had it at one point
ham,Take us out shopping and Mark will distract Isaiah.=D
ham,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?"
ham,Booked ticket for pongal?
ham,We confirm eating at esplanade?
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,"No my blankets are sufficient, thx"
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed å£1000 CASH or å£2000 gift. Speak to a live operator NOW!
ham,Must come later.. I normally bathe him in da afternoon mah..
spam,A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611
ham,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night
ham,What Today-sunday..sunday is holiday..so no work..
ham,"If i let you do this, i want you in the house by 8am."
ham,";-( oh well, c u later"
ham,Still in the area of the restaurant. Ill try to come back soon
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
ham,Well that must be a pain to catch
ham,* Am on a train back from northampton so i'm afraid not!
ham,Come to mahal bus stop.. &lt;DECIMAL&gt;
ham,I dont thnk its a wrong calling between us
ham,Wot u up 2 u weirdo?
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,I re-met alex nichols from middle school and it turns out he's dealing!
ham,Watching tv now. I got new job :)
ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)"""
spam,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text"
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you
ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
ham,Pls speak with me. I wont ask anything other then you friendship.
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
ham,Hey you around? I've got enough for a half + the ten I owe you
ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account
ham,Ok... Let u noe when i leave my house.
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
ham,All done? All handed in? Celebrations in full swing yet?
ham,Ffffffffff. Alright no way I can meet up with you sooner?
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
ham,I just cooked a rather nice salmon a la you
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
ham,"Tee hee. Off to lecture, cheery bye bye."
ham,I havent add Ì_ yet right.. 
ham,Depends on where u going lor.
ham,Wherre's my boytoy ? :-(
ham,Merry christmas to u too annie!
ham,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see
ham,Mm not entirely sure i understood that text but hey. Ho. Which weekend?
ham,"Omw back to tampa from west palm, you hear what happened?"
ham,WOT U WANNA DO THEN MISSY?
ham,Do you know when dad will be back?
